domain,edge,field,manual_value,inferred_value,match,ii_with_manual,ii_with_inferred,ii_delta_pct,method,git_hash,timestamp
graph_analytics,pagerank_spmv->label_prop,backpressure,N/A,BLOCK,0,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,bfs_traversal->triangle_count,rate,1024,1024,1,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,bfs_traversal->triangle_count,tile_shape,[1024],[1024],1,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,bfs_traversal->triangle_count,visibility,GLOBAL_MEM,LOCAL_SPM,0,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,bfs_traversal->triangle_count,double_buffering,False,False,1,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
graph_analytics,bfs_traversal->triangle_count,backpressure,N/A,BLOCK,0,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,ntt->poly_eval,rate,1024,1024,1,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,ntt->poly_eval,tile_shape,[1024],[1024],1,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,ntt->poly_eval,visibility,LOCAL_SPM,LOCAL_SPM,1,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,ntt->poly_eval,double_buffering,True,False,0,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,ntt->poly_eval,backpressure,N/A,BLOCK,0,1024,1024,0.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,poly_eval->proof_compose,rate,256,1024,0,256,1024,300.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,poly_eval->proof_compose,tile_shape,[256],[1024],0,256,1024,300.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,poly_eval->proof_compose,visibility,LOCAL_SPM,LOCAL_SPM,1,256,1024,300.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,poly_eval->proof_compose,double_buffering,False,False,1,256,1024,300.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,poly_eval->proof_compose,backpressure,N/A,BLOCK,0,256,1024,300.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,poseidon_hash->proof_compose,rate,4,1024,0,4,1024,25500.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,poseidon_hash->proof_compose,tile_shape,[4],[1024],0,4,1024,25500.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,poseidon_hash->proof_compose,visibility,LOCAL_SPM,LOCAL_SPM,1,4,1024,25500.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,poseidon_hash->proof_compose,double_buffering,False,False,1,4,1024,25500.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,poseidon_hash->proof_compose,backpressure,N/A,BLOCK,0,4,1024,25500.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,msm->proof_compose,rate,3,1024,0,3,1024,34033.33,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,msm->proof_compose,tile_shape,[3],[1024],0,3,1024,34033.33,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,msm->proof_compose,visibility,LOCAL_SPM,LOCAL_SPM,1,3,1024,34033.33,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,msm->proof_compose,double_buffering,False,False,1,3,1024,34033.33,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,msm->proof_compose,backpressure,N/A,BLOCK,0,3,1024,34033.33,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,ntt->poseidon_hash,rate,8,1024,0,8,1024,12700.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,ntt->poseidon_hash,tile_shape,[8],[1024],0,8,1024,12700.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,ntt->poseidon_hash,visibility,LOCAL_SPM,LOCAL_SPM,1,8,1024,12700.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,ntt->poseidon_hash,double_buffering,False,False,1,8,1024,12700.0,simulated,4d4c308,2026-03-24T07:10:32Z
zk_stark,ntt->poseidon_hash,backpressure,N/A,BLOCK,0,8,1024,12700.0,simulated,4d4c308,2026-03-24T07:10:32Z
