core_type,tier,bo_iteration,pe_type,array_rows,array_cols,pe_count,fu_alu,fu_mul,fu_fp,fu_mem,spm_kb,area_um2,all_kernels_mapped,avg_ii,assigned_kernels,git_hash,timestamp
dsp,tier2,8,spatial_pe,6,6,36,4,3,0,3,16,508192.0,1,5.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,9,spatial_pe,6,6,36,3,2,1,3,8,505596.0,1,7.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,10,spatial_pe,6,6,36,4,1,1,3,16,507192.0,1,14.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,11,spatial_pe,6,6,36,4,1,0,3,16,499192.0,1,14.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,12,spatial_pe,6,6,36,3,3,0,1,12,497144.0,1,6.6,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,13,spatial_pe,6,6,36,4,2,0,1,8,492596.0,1,7.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,14,spatial_pe,6,6,36,4,1,0,1,8,488096.0,1,14.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,15,spatial_pe,6,6,36,4,2,0,1,8,492596.0,1,7.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,16,spatial_pe,6,6,36,4,2,0,1,8,492596.0,1,7.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,17,spatial_pe,7,7,49,4,2,0,1,12,656644.0,1,7.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,18,spatial_pe,6,7,42,4,0,0,1,12,560644.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,19,spatial_pe,6,6,36,4,1,0,1,8,488096.0,1,14.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,20,spatial_pe,7,6,42,4,2,1,2,4,577048.0,1,7.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,21,spatial_pe,7,6,42,4,0,1,1,12,568644.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,22,spatial_pe,6,6,36,3,0,0,1,4,479548.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,23,spatial_pe,6,6,36,3,1,0,1,8,486096.0,1,14.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,24,spatial_pe,7,6,42,4,2,1,2,12,581144.0,1,7.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,25,spatial_pe,6,7,42,4,2,1,1,12,577644.0,1,7.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,26,spatial_pe,6,7,42,4,0,0,1,12,560644.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
